"","text"
"2487","rt    bringing  americas greatness       intends "
"2488","rt    supporter       equates   nation   tyrannical murderous nation   "
"2489","rt   sunday column posttrump  canada     country  reflecting  values   statue  liberty "
"2490","rt  breaking appeals court denies  administration request  immediately reinstate ban  travelers  refugees"
"2491","rt    prayed     wincastro  die amp  netanyahu  outlast obama  please  doubt  providenc "
"2492","rt  breaking   travel ban remains suspended   th circuit denied  stay   earlier court  "
"2493","rt  asst attorney  tweets fck   "
"2494","rt  owen jones refuses  join  protest  swp   cult  covered  rape "
"2495","rt   left  saying tom brady  evil    condemned simply     supports      million "
"2496","  friend  mine    hes russian  emailed   videos  start thinking  stepping  "
"2497","rt   sunday column posttrump  canada     country  reflecting  values   statue  liberty "
"2498","world news update  asylum policy  upend usmexico relations  cnn   visit   "
"2499","rt   nominee   supreme court called  gay attorneys marriage  wonderful  via  lgbt "
"2500","rt   cabinet pick paid  cultlike iranian exile     "
"2501","rt  watching people  video selfies    yoga poses    won "
"2502","rt  extremely  analysis    hands  ukraine    russia    jamestown "
"2503","rt   request  restore travel ban rejected   appeals court  "
"2504","rt  exhibit  looked  moscow  real estate  dworkinreport resistance trumprussia resist theresistance "
"2505","  fellow military academy alums remember school  little    presidential candidate "
"2506","rt      walked    daytoday   empire  records   close  remains   "
"2507","cbc topstories researchers lend  labs  wake   ban  malaria mosquitoes fight  cbcs health "
"2508","rt    consoles  following  courts  ruling   "
"2509","rt   loses   court judge rejects attempt  quickly restart muslim ban "
"2510","rt  obama america  imperfect gop treason   america    murderous thug gop shield  eyes   presence   patriot"
"2511","rt   federal appeals court  refused  immediately reinstate  travel ban  people  seven countries "
"2512","rt  uba video melissa mccarthys hilarious    aide sean spicer  "
"2513","texas  beaten  public  pulling   cigarette lighter  via "
"2514","rt  kuwait denies  imposed travel ban praised    "
"2515","rt      quietly stall  loud demand    expose  hes deliberately misled  public   "
"2516","rt  nobannowall antitrump protests continue throughout europe amp   "
"2517","rt  appeals court rejects  request  restore immigration ban  "
"2518","embarassment   administration  former prime minister  norway detained  muslim ban "
"2519","rt  breaking  justice department    till tomorrow  submit  response  appeals court   travel ban halt"
"2520","rt         tried  delegitimize  press scientists  intel community election results  judiciary branch"
"2521","rt   appeals court denies request  restore  immigration ban   ctl "
"2522","   mitt romney    hes   donaldtrump"
"2523","rt     understanding  ir belief  american democracy hes   twobit tinpot con   gop forever st "
"2524","rt    child  brainwashed  liberal teachers   katieonlbc "
"2525","elon musk    immigration ban   councilagenda  "
"2526","rt  amazing   attacks  usa   "
"2527"," sketchy house intel staffers fired  probe  security breach  trumptrain presidenttrump "
"2528","rt  president     checked  balanced  "
"2529","rt  melissa mccarthy skewers sean spicer alec baldwin reprises  role bannon portrayed  grim reaper  snl "
"2530","rt   defends putin    countrys  innocent "
"2531","snltrump  bannon call world leaders  cnn "
"2532","rt      spine looks  theresa   merkel reads  statement condemning  ban  press confer "
"2533","rt  alec baldwins     snl prepare    war "
"2534","rt    cut federal funds   sanctuary cities"
"2535","rt   moment  lawyer tells judge robart  travel ban  actually dont  youre supposed  look  wheth "
"2536","rt  poor kanchan gupta   doesnt  name jews   jewish holocaust fat chance   recognize  hindu holocaust"
"2537","rt  melissa mccarthys sean spicer     alec baldwins    snl  "
"2538","rt    signs  prepare   americanspring  likes    nation   seen  resist"
"2539","   outrage   dems    judiciary system  attacked     suggests normal  russia  murder oppos"
"2540","rt    agreed   murderer  putin saying america   innocent    obama     outcry   gop"
"2541","rt  lapd pushes amp  removes peaceful protrump supporter baked alaska   laxprotest falsely accuses  "
"2542","rt   tweet using trumpwinsusa president       weeks  obama     twitterrally maga"
"2543","rt   melania  stays   tower   yr term   cost taxpayers approx     populist  voters "
"2544","rt  ukraines avdiivka  microcosm  study     chaos  administration  brings   worl "
"2545","rt  bureaucrats attempting  sabotage   leaks  via  maga  trumptrain americafirst dobbs"
"2546","rt  president  job   protect   people  judiciary   authority  stop  presidents duty  "
"2547","texas  beaten  public  pulling   cigarette lighter  via "
"2548","president          fight  enemy   corruption  politicians  judges   win "
"2549","rt  dems tell  disclose maralago guests  dispel paytoplay charges  "
"2550","rt    bringing  americas greatness       intends "
"2551","rt     day itll cost  nation    melania    york city    "
"2552","poor seanspicer  bet mara lago   fun  snl  skit bet   raging   "
"2553","rt  sorry   youre  andrew jackson "
"2554","rt    supports ukrainian territorial integrity  didnt mention   president poroshenko "
"2555","rt  stage  set  showdown   authority  tighten borders   name  protecting   terrorism "
"2556","chill america    outrage  outrageous "
"2557","rt       challenged  fed courts   gorsuch confirmed fast "
"2558","gerry adams   trumpesque attitude  power  truth  remember ira murdered civilian workers  collaboration "
"2559"," im  thailand   talk   news    noescape "
"2560","rt  theres     billion chance    killed   refugee   supporters "
"2561","rt   twitter meltdown  commence shortly "
"2562","rt    theres  branches  govt  act  checks amp  balances   president goes mad threatening  "
"2563","rt  monthly cost  guarding  tower  million section     homeless nyc families  million"
"2564","rt  watch   bannon  grim reaper   war  foreign leaders  snl  "
"2565","rt  paul grange  fined   costs  displaying abusive writing   cause distress people abusing trumpma "
"2566","rt  monthly cost  guarding  tower  million section     homeless nyc families  million"
"2567","rt    jr stumbled   mark outside   organization leaving  lawsuits unpaid taxes "
"2568","rt       challenged  fed courts   gorsuch confirmed fast "
"2569","rt  london protest   travelban amp  statevisit  uk gathers momentum   million sign petition "
"2570","rt  president      ukraine russia amp    parties involved  help  restore peace alon "
"2571","rt  snowflakes  washington college sniffle racism seeing pictures    "
"2572","rt  americans      salute   "
"2573","rt  errors   press  piling     weeks    administration "
"2574","rt  president  suggestion  constitutional checks  executive power    arbitrary contributes  thei "
"2575","rt  antitrump protesters planning massive nationwide action  "
"2576","rt  meet  bushnominated federal judge  halted  executive    washington post "
"2577"," protestor  berlin holding  sign   demonstration opposing president  travel ban "
"2578","   weather          foksuk  "
"2579","rt     academics collecting  government paycheck  engaging  seditious anarchy   fired   maga gop"
"2580","rt  yep theres ivanka   casually sitting    economic advisory council meeting "
"2581"," apparantly   antiamerican     oreilly      terrible    past "
"2582"," cabinet pick paid  cultlike iranian exile   jongambrellap  "
"2583","rt  covers   economist amp  der spiegel opinion  europe re   reasonably  "
"2584","rt     terrific piece   gt  chill america    outrage  outrageous "
"2585","rt   thousands  illegal immigrants  australia   referenced  actually   asylum seekers  "
"2586","  americans  select   president   situation  "
"2587","  looser counting  days    fired"
"2588","rt  god handpicked   america  god bless    praying   twitter prayers  super bowl halftime  "
"2589","snl ratings     roof     ratings   toilet hahahaha "
"2590","rt    loses bid  restart travel ban  court hears appeals  read   tcot "
"2591","rt  please follow   facebook       illegitimate president    "
"2592","           trumpdonald"
"2593","rt  neiman marcus  joins nordstrom    selling ivanka trumpbranded merchandise  "
"2594","rt  obscure websites published  fake story  kuwait  copying  ban  president facebooked    "
"2595","rt       law     president  federal judge blocks   immigration ban "
"2596","rt  criticism  putin russia  europe   borders  islamic terrorism      "
"2597","   wasnt  office  "
"2598","rt  bbc version  step    lead   disputes     caught lying  yes    "
"2599","rt   real fear      cia      tried   castro   lived    galapagos tortoise"
"2600","rt   joke  djt  unfit impeachtrumpnow dworkinreport theresistance "
"2601","   peaceful women marchers    dozen antimilo protesters  opposed     enemy"
"2602","rt   modern fascism    fight    read     observer  "
"2603","rt      banks cant lend  business loans   banks  share  gdp   level   yrs "
"2604","rt  nearly   voters  approve    rednationrising"
"2605","rt   video senator chuck schumer     refugee pause    maga  "
"2606"," explains  differences associated    amendment       supported   spent   waiting  vote "
"2607","rt      walked    daytoday   empire  records   close  remains   "
"2608","rt   cabinet pick paid  cultlike iranian exile     "
"2609","rt  gotta  todays  cartoon  travelban democracy constitution "
"2610","   weeks  office   gone  mainly   selfinflicted wounds  february "
"2611","rt  dhs ig  obama defy court rulings  illegal amnesty acts   probes  muslim  "
"2612","rt   cabinet pick paid  cultlike iranian exile     "
"2613","rt  kuwait denies  imposed travel ban praised   "
"2614","rt   defends putin  dworkinreport resistance trumprussia resist theresistance muslimban amjoy nobannowall "
"2615","rt   bid  reinstate travel ban fails "
"2616","rt  former coo  goldman standing   left shoulder   signed eo weakening doddfrank      fu "
"2617","rt  exhibit  fam eyed expansion  russian market   dworkinreport resistance trumprussia resist "
"2618","rt  frederick douglass vs       via "
"2619","rt     learn    truth stated  washington ag bob ferguson      law  eve "
"2620"," reports confirm  plan  disentangle   business   farce   "
"2621","rt  heres  ladygaga wont  mentioning    superbowl pepsihalftime  performance "
"2622","rt   team     superbowl   candidate   win  election   maga gop "
"2623","rt  hey  theres  plenty  time    ruin super bowl sunday  tweets"
"2624","rt  sunday reading    steve bannon  ideologist   entire world  via "
"2625"," cabinet pick paid  cultlike iranian exilegroup "
"2626","rt   modern fascism    fight    read     observer  "
"2627","rt  massive protests  london  demanding  uk withdraw invite    visit "
"2628","oreilly liberal sports media  trumpbrady friendship  controversy tcot wakeupamerica "
"2629","rt     day itll cost  nation    melania    york city    "
"2630","rt  takeaway        wrong   engaging  mass killing     likes   views   acceptable preferable"
"2631","rt    britons believe   threat  international stability  theresatheappeaser muslimbanprotest  "
"2632","oh     nightmare    please   stop cant     utopia protest   "
"2633","rt  thanks  th circuit court  appeals staff  creating webpage wfilings amp    washminn  trum "
"2634","rt    survivor cheers  suspension   immigration ban  opinion  "
"2635","rt  kuwait denies  imposed travel ban praised    "
"2636","rt  exhibit gorbachev    build russian hotel   dworkinreport resistance trumprussia resist "
"2637","rt  oreilly putins  killer    weve   lot  killers    thinkour countrys  innocent "
"2638","rt   explainer   legal obligation   return refugees amp     breaks  via  "
"2639","rt  gotta  todays  cartoon  travelban democracy constitution "
"2640","rt   beer    "
"2641","rt  amazing diversity   senior staff  sworn  white    heights tie colors  "
"2642","rt   wont   conservatives defend  russia comment theyll  silent  theyll  theyd race  fox  condemn  dem"
"2643","rt     rid  bannon emphasize         puppet    narcissism   rest"
"2644","rt  victoria cross recipient humiliated   muslim ban "
"2645","court denies  request  immediately restore travel ban  "
"2646","rt     government  night oreilly putins  killer     lot  killers    country   innocent"
"2647","rt      walked    daytoday   empire  records   close  remains   "
"2648","rt  retweet    congress  appoint  special prosecutor  investigate  ties  putin  "
"2649","rt  breaking news th cir ct  appeals rejects  request  immediately restore muslim ban tweets expected soon "
"2650","rt  kristen stewart taking      homophobes       saved  play    funeral "
"2651","rt      banks cant lend  business loans   banks  share  gdp   level   yrs "
"2652","rt  people fail  understand half  country loves       media frenzy  hitler analogies       "
"2653","rt    bringing  americas greatness       intends "
"2654","rt   wont   conservatives defend  russia comment theyll  silent  theyll  theyd race  fox  condemn  dem"
"2655"," sitzpinklers  isaacson whined    bush killing   iraq    killed people libs throw fit"
"2656","rt  president      job"
"2657","rt       dislike snl        kristen stewart hold  beer   snl"
"2658","rt     call robart  socalled judge   call    infinitely  justification   socalled president"
"2659","rt    travelers   ban head   via beirut     reaction   president  "
"2660","rt    jr faved  tweet    sr    political boost  quebec killer  muslim "
"2661","          calls usa  killer  defend putin     normal  wonder     "
"2662","rt  melissa mccarthy skewers sean spicer alec baldwin reprises  role bannon portrayed  grim reaper  snl "
"2663","   study  map "
"2664","rt   immigration ban    broad negative effect   security partnerships   depends    mid "
"2665","rt  opposing  travel ban  tantamount  saying    terrorism  usa  left   hateful     rationally"
"2666","real patriots    thank   stuff   follow keeping america safe"
"2667","court denies justice departments request  immediately reinstate  travel ban  via "
"2668","rt  bureaucrats attempting  sabotage   leaks  via  maga  trumptrain americafirst dobbs"
"2669","rt    bringing  americas greatness       intends "
"2670","rt           sick  winning   lost  popular vote   lost   court tw "
"2671","rt    disgusting   racism  muslim ban  policies  enrich  billionaire friends  sex attacks "
"2672","rt  monthly cost  guarding  tower  million section     homeless nyc families  million"
"2673","rt  im  proud  girlucufef "
"2674","    majority   uk support   visit"
"2675"," wonder  thats  people   afraid      cracks   system      hes cold hard reality"
"2676","rt   foreign entanglements   grave concern  warrant investigation  dworkinreport "
"2677","       killers  putin wheres  outragedenial   afraid  bannon losers"
"2678","rt     front page  wins  landslide  york times  november    "
"2679","rt  snl  shredded traitor  press secretary sean spicer notmypresident theresistance  "
"2680","rt      worried     world hating     eminem   entirely  "
"2681","rt  hey liberals look   mirror   guaranteeing gop rule      maga  "
"2682","rt    obama bush    world  "
"2683","rt   transferring billions  white retirees  wall street   converted    ira  hold cash position      gt "
"2684","rt  canadian scientists  followed threatened  censored  warn       "
"2685","   somehow  mexico  build  wall   spin    mexicans  taking american jobs    mexicans"
"2686","rt   suffers  loss  federal appeals court rejects request  immediately restore  muslimban "
"2687","   co conveniently forget   illegal immigrants "
"2688","rt  appeals court rejects  request  restore immigration ban  "
"2689","rt   clip  oreillys interview  praises putin  shtting  america "
"2690","rt  snl goes     melissa mccarthy  sean spicer "
"2691","rt  breaking  federal appeals court  sunday rejected  request   justice department  restore  muslimban  defeat"
"2692","rt   defends putin  russia killings allegations "
"2693","rt  thanks  th circuit court  appeals staff  creating webpage wfilings amp    washminn  trum "
"2694","alec baldwins     snl prepare    war "
"2695","rt   collection  leaders  silicon valley  quietly plotting  progressive counterattack  trum "
"2696","rt    brand  synonymous   nazi swastika  drops ivanka      buying  "
"2697","alec baldwins     snl prepare    war "
"2698","shocking outcome   stupidity victoria cross recipient johnson beharry humiliated   muslim ban "
"2699","rt  breaking appeals court rejects  administrations request  restore travel ban  "
"2700","    st president   hes   law  nixon learned   disgrace thats      usa "
"2701","rt  killers     attacked  integrity  america  defend vladimir putin brothers  sisters  aggression   stand"
"2702","rt  liz plank  jamal simmons join   politicsnation  discuss  democrats uphill battle    "
"2703","rt  focus    day  win  house   hold  accountable "
"2704","rt  australia sucks prepare    war alec baldwin returns  snl   botching world leader calls "
"2705","rt  shoutout     fans       youre vs      suddenly constitutional law scholars"
"2706","rt      officially  aliens dont exist         blurted     twitter    "
"2707","rt  focus    day  win  house   hold  accountable "
"2708","cant wait   spanish version  dares germany  trolling      hysterical video  "
"2709","rt  ap   appeals court  denied   request  immediately reinstate  travel ban  meanwhile  "
"2710","  people stuck  twin tower bombing country  bitch   people            "
"2711","rt  look forward     shitfit  kristen stewart    hours "
"2712","rt  department  justice  headed  court  defend   executive  "
"2713","rt  meet  bushappointed federal judge  halted  executive  "
"2714","rt   tweets   malevolent  excruciatingly dumb  comes  sounding lie  pro wrestling bad guy  "
"2715","rt  globalists  toast davos   dead   eu ambassador slams   touch elites  zero hedge  "
"2716","rt  rds  britons believe donaldtrump  threat  international stability  believe   untrustworthy "
"2717","rt     nobannowall muslimban  "
"2718","rt  obama america  imperfect gop treason   america    murderous thug gop shield  eyes   presence   patriot"
"2719","rt  president  vs american justice   moment   "
"2720","rt  cnn  morning wringing hands   deficit proposalswhere    obama  adding  trillion"
"2721","rt   judge attack schumer  president  raises  bar    judge gorsuchs nomination  serve   supreme court"
"2722","rt       law    president wa atty gen bob ferguson  resist theresistance impeachtrump "
"2723","rt  disgusting     wont   praise putin comparing     dictator     murders "
"2724","rt  london police escorting protesters marching    embassy   street thank    uniting  "
"2725"," liked   video  chinas top billionaire explains whats wrong    populist rhetoric"
"2726","rt  cnn  morning wringing hands   deficit proposalswhere    obama  adding  trillion"
"2727","rt  appeals court denies  request  immediately restore travel ban  via "
"2728","rt      walked    daytoday   empire  records   close  remains   "
"2729","rt  school teachers     history teachers      "
"2730","rt  look forward     shitfit  kristen stewart    hours "
"2731","rt  todays   john eastman   david hernandez  sag amp  kitty wallace  ubh "
"2732","rt       build wall amp  mexicans  pay france  build wall amp  uk  pay latvia  build wall amp  eu  pay"
"2733","rt  oreilly   sitdown          interview   life "
"2734","uaufef president  bid  reinstate travel ban rejected  court  "
"2735","rt   tweets   malevolent  excruciatingly dumb  comes  sounding lie  pro wrestling bad guy  "
"2736"," liked   video  chinas top billionaire explains whats wrong    populist rhetoric"
"2737","rt   twitter rally  feb th praydjt   boycottsuperbowl  liberalsuperbowl halftimeshow "
"2738","rt    support banning   twitter   reasons described   thread doitjack "
"2739","rt      cant  twitter  threaten  supporters children violence amp  doxxing  account final "
"2740","rt         tried  delegitimize  press scientists  intel community election results  judiciary branch"
"2741","rt     countrys  innocent    putin   republicans killed obama   apology tour wonder  theyll  abt "
"2742","rt  exhibit gorbachev    build russian hotel   dworkinreport resistance trumprussia resist "
"2743","rt    fecesinchief  na na naaa na na na naaa na hey hey hey  bye arresttrump treasonoustrump  resistance  verb"
"2744","rt  bullshit      womens march  bad wait     millions  retirees tha "
"2745","rt  thank  socalled president  ive  struggling   weeks    call    tweet   "
"2746","rt  look forward     shitfit  kristen stewart    hours "
"2747","rt  breaking th circuit court  appeals denies  request  immediately restore travel ban "
"2748","court rejects  bid  immediately restore travel ban "
"2749","court rejects  bid  quickly restore travel ban "
"2750","rt  kuwait denies  imposed travel ban praised    "
"2751","rt  killers     attacked  integrity  america  defend vladimir putin brothers  sisters  aggression   stand"
"2752","rt   look forward     tweet   snl "
"2753","rt       speak  forgotten americans hed travel   mississippi delta  rural black belt "
"2754","rt  starbucks ceo attacks   stocks nosedive  boycotts ensue tweets  arnews feedly"
"2755","rt  super bowl  protesters  lady gaga prepare  houston spectacle "
"2756","rt  kristen speaking    snl   fucking legend "
"2757","rt  melissa mccarthy skewers sean spicer alec baldwin reprises  role bannon portrayed  grim reaper  snl "
"2758","rt               attention check   "
"2759","rt  hitler  failed painter   cancelled tv host bannon  failed documentary maker conway  failed standup  support  arts  media"
"2760","rt  thank  socalled president  ive  struggling   weeks    call    tweet   "
"2761","rt   administration files appeal  seattle judges immigration  block "
"2762","travelers rush  board  flights   ban blocked  via  judge   bad move"
"2763","kuwait denies  imposed travel ban praised    "
"2764","  yes   assure    didnt forget   helped    rid  hitler    assist   bannon "
"2765","rt   helped        bit  le pen "
"2766","rt   administrations request  immediate administrative stay denied "
"2767","    vacation poor baby  running  country  following  law   hard notmypresidenttrump"
"2768","rt  kristen mocked       gay  snl monologue    fave "
"2769","rt  false equivalency alert  assimilation    previous administrations  utter garbage dont believe   "
"2770","rt  snl goes     melissa mccarthy  sean spicer "
"2771","rt    consoles  following  courts  ruling   "
"2772","rt  breaking appeals court rejects  administrations request  restore travel ban  "
"2773","rt  uturn   "
"2774","appeals court denies  request  immediately reinstate travel ban  lovepresidenttrump keepamericasafe"
"2775","rt   patriotic american     congress   digging    russia  stinks "
"2776","rt     receive reports   profit  loss   company    "
"2777","rt  fiscal hole  test   agenda "
"2778","rt      banks cant lend  business loans   banks  share  gdp   level   yrs "
"2779","rt  takeaway        wrong   engaging  mass killing     likes   views   acceptable preferable"
"2780","rt  meet  bushappointed federal judge  halted  executive  "
"2781","rt  lgbt supporting     jews supporting hitler "
"2782","rt   federal appeals court denied   governments initial request  resume president   travel ban "
"2783","rt  monthly cost  guarding  tower  million section     homeless nyc families  million"
"2784","unacceptable  draft plan  cut  food stamps  immigrants  cause   citizens   hungry "
"2785","rt  breaking appeals court denies  administration request  immediately reinstate ban  travelers  refugees"
"2786","rt  alec baldwins     snl prepare    war "
"2787","rt  robbie knievel   try  jump   antitrump protesters   caterpillar  bulldozer tcot  "
"2788","rt  veterans vs  pipeline    completed warriors vow  "
"2789","    reducing  cost  overall policy reform  cant    generous"
"2790","rt    nero europe  defend   americas dangerous president  "
"2791","rt  imagine   federal judge called   socalled president "
"2792","rt  murder  islam  stories  bansharia  "
"2793"," cabinet pick paid  cultlike iranian exile   jongambrellap  "
"2794"," bid  restore travel ban rejected ftw resistance noban  "
"2795","rt  thank  socalled president  ive  struggling   weeks    call    tweet   "
"2796","rt           sick  winning   lost  popular vote   lost   court tw "
"2797","rt  treason hillary maga msn usa judge robart  gop foxnews cnn msnbc abc hannity newyork trum "
"2798","rt  saturdaynightlive video melissa mccarthy   press sec sean spicer  amazing period "
"2799","rt  wow    navy seal   killed  yemen   trolling  nyt  twitter    situation  "
"2800","rt     potential conflicts     via  "
"2801","rt  melissa mccarthys sean spicer     alec baldwins    snl  "
"2802","rt      heroically avoided capture  vietnam  staying    via "
"2803","rt  snl   hero rn kristenstewart    im gay dude "
"2804","rt     darkness trumpamp crew  spreadingonly makes  light shine brighter  contrast"
"2805","rt    spent  yelling  obamas apology tour   defend  suggesting    bad  putins russia trumpism corrupts"
"2806","rt    people love    farit   media  liberals   causing riots  disturbances  winning"
"2807","rt  patriots owner     president      toughest time   life "
"2808","rt   cabinet pick paid  cultlike iranian exile     "
"2809","rt   retweetu    happy  president    administrations performance    kicking butt  tak "
"2810","rt    bad hombres   targeting    million people  deportation "
"2811","rt  oreilly putin   killer     lot  killers    countrys  innocent obama probabl "
"2812","rt  president  job   protect   people  judiciary   authority  stop  presidents duty  "
"2813","    episode  dr phill   whoppi  vile humans      cancelledtrump  hard   america"
"2814"," world stage  defends killer putin  presuper bowl oreilly interview superbowlsunday  "
"2815"," bush family      grips    win  invalidated travel ban   seattle judge   bush appointee pay "
"2816","  hole worlds muslim  getting united    call  effect"
"2817","rt  obama america  imperfect gop treason   america    murderous thug gop shield  eyes   presence   patriot"
"2818"," protesters plan     skin wherever  goes "
"2819","rt  heres  ladygaga wont  mentioning    superbowl pepsihalftime  performance "
"2820","rt  gt    inside politics  continues    word illegals     offensive     "
"2821","rt  foxs oreilly    putins  killer  shrugged saying    country   innocent dont drink  tea folks"
"2822","rt  meet  bushappointed federal judge  halted  executive  "
"2823","    fuck  self  lying sack  shit crowd size  lost popular vote  lost  suck  cock  ass hat"
"2824","rt  notice    word attack   stands    taxpayer "
"2825"," omg im horrible     bunch  people   ok   racism  wouldnt vote   jewish "
"2826","rt     administration  biggest incentive  leak pence"
"2827","rt   sat   ban  spicer sun   ban   mon   ban  spicer tues    ban thats  media te "
"2828"," sounds   unwoke  self aware      capable  self awareness anyway"
"2829","rt   sunday column posttrump  canada     country  reflecting  values   statue  liberty "
"2830","rt  americans      salute   "
"2831","rt    hate tom brady   patriots     connection       loving amp  tolerant liberals"
"2832","     start  arrest  officials   sanctuary cities     foot    late"
"2833","rt  federal appeals court rejects request  immediate reinstatement   travel ban "
"2834","rt  starting  catch    phenomenon liberals   hates   liberals  talk   "
"2835","rt  kristen mocked       gay  snl monologue    fave "
"2836","rt    snl goes    trending  snl    political sketches    past    youre  noticing"
"2837","rt  heres  ladygaga wont  mentioning    superbowl pepsihalftime  performance "
"2838","rt  thanks  th circuit court  appeals staff  creating webpage wfilings amp    washminn  trum "
"2839","president    brushed   description   russian counterpart vladimir putin   killer "
"2840","rt      cant  twitter  threaten  supporters children violence amp  doxxing  account final "
"2841","rt   obamahrc slandered america        berserk        sotto voce  revealing"
"2842","food recipes drug bust reveals president   printed    latestnews "
"2843","    gop believe  short term profit   term protection"
"2844","rt   glad    story noted   head   usda transition teams ties  puppy mills  resist"
"2845","rt  watch gop lawmaker escorted  police  meeting erupts  antitrump protest  "
"2846","rt    reminder     cost taxpayers   security   nyc home     hear shit "
"2847"," defends putin    countrys  innocent  respects putin     "
"2848","rt  kristen stewart taking      homophobes       saved  play    funeral "
"2849","rt  wow       california republicans    era     folks     wo "
"2850","rt  dec     putin kills journalists  dont agree      country  plenty  kil "
"2851","rt  breaking appeals court denies  admin request  stay  injunction  immigration  meaning    remains suspended"
"2852","rt  middle school student attacked  bus  wearing  maga hat   schools suspends  video "
"2853","rt   court refuses  immediately restore   immigration ban  ndtvnewsbeeps "
"2854","rt   building walls    ya bitches needa holla   uduufef ijs"
"2855","rt  veterans vs  pipeline    completed warriors vow  "
"2856","rt  obama america  imperfect gop treason   america    murderous thug gop shield  eyes   presence   patriot"
"2857","rt  judge  blocked  immigration ban totally biasedjudges   interpreting law  enforcing  view "
"2858","rt  cant wait   trumpers  discover tonkin gulf    phoenix program consider chomsky  cliff notes  "
"2859","rt  experts social media giants fight  antiterror plan  providing platform  terrorists "
"2860","rt  look forward     shitfit  kristen stewart    hours "
"2861","rt  appeals court denies request  immediate  bringing   travel ban  heh heh "
"2862","american law  start catching     administration soon "
"2863","rt  president  job   protect   people  judiciary   authority  stop  presidents duty  "
"2864"," plans  ban controversial flashlight manufacturer   inventory  free   "
"2865","  course     shot     obvious  election night due   tweets"
"2866","    sanctioned iran   muslim   paying   wall mexico border  extorts"
"2867","rt  hundreds protest     edinburgh  read    "
"2868"," short circuits washington "
"2869","unhinged  york leftist freaks   judge jeanine fck  fck  white people video "
"2870","rt  thanks george  bush   judges  upheld obamacare  halted president  travel ban   wonder   "
"2871","amazing  turnbull agreed   refugee deal   won election    obama  leaving   days amp      "
"2872","rt  thank  socalled president  ive  struggling   weeks    call    tweet   "
"2873","rt  wow       california republicans    era     folks     wo "
"2874","rt      experts  california voter registration highly suceptible  fraud mustread feedly "
"2875","rt   sunday column posttrump  canada     country  reflecting  values   statue  liberty "
"2876","rt   twitter rally  rt    support  djt  sunday feb th  super bowl half time   "
"2877","rt   appeals court rejects  administration request  immediately reinstate travel ban "
"2878","rt  heres  ladygaga wont  mentioning    superbowl pepsihalftime  performance "
"2879","rt  reposting  photo  yesterdays london antitrump march staggering "
"2880","rt  navy seal convoy flew   flag proudly   love  military  amp  womenvetsamericafirst freedom "
"2881","rt     hillary  hawkish     isolationist  "
"2882","     baseball camp   league      "
"2883","        keeping obamas people  stafffire  "
"2884","rt     day itll cost  nation    melania    york city    "
"2885","rt  exhibit  talks   travels  moscow    dworkinreport resistance trumprussia resist "
"2886","rt  kristen mocked       gay  snl monologue    fave "
"2887","   aesthetically pleasing environment   white house   wear  bag   head  dresslikeawoman"
"2888","rt    supporters try  claim   conservative    syncophant sean hannity admits    conse "
"2889","rt  kuwait denies  imposed travel ban praised    "
"2890","rt  florida residents  senator   blocking  nominees hes   reelection   call  office  "
"2891","reuters tv  iraqi family flies   york  blow   ban  paginanuova tv"
"2892","rt  exhibit  talks   travels  moscow    dworkinreport resistance trumprussia resist "
"2893","    adore amp  support     election theyre keeping  real   sad trumpspeak actiongethrtb "
"2894","rt   leftwing appeals court  nation denies  request  reinstate travel ban  maga trumptrain americafirst"
"2895","rt      associate      amp   companies   associated   persecution "
"2896","judge jeanine pirro  statement goes   judge blocking  travel ban  "
"2897","rt   video senator chuck schumer     refugee pause    maga  "
"2898","rt    deputy editorial page editor   wall street journal   agree   slandered   "
"2899","rt    supporters tell nfl     cost   lady gaga goes    super bowl goodell  "
"2900","      obama left  lot  damage     mind  fix "
"2901","rt   defends putin    countrys  innocent "
"2902","    fight    country  float  lost minds dont        definitely"
"2903","rt    genuinely change   brexiteer   single instance  "
"2904","rt  breaking appeals court denies  admin request  stay  injunction  immigration  meaning    remains suspended"
"2905","rt  kristen stewart       string  snl hosts seemingly plucked   rile   baldwin  week"
"2906","rt  veterans vs  pipeline    completed warriors vow  "
"2907","rt  president  quickly condemns  louvre attack    quiet  quebec  "
"2908","rt      mean   american people sending  message louder   "
"2909","yearold  attacked  peers  wearing  hat  via "
"2910","rt   obama        country    innocent  equating   russia  gop   lost  minds"
"2911","rt  experts social media giants fight  antiterror plan  providing platform  terrorists "
"2912","rt  heres  petition   looking  fight    animalwelfare info blackout transparency "
"2913","rt  appeals court rejects bid  immediately reinstate  travel ban   filings due sun mon "
"2914","    werego trumpmake america  "
"2915","rt  breaking appeals court denies  administration request  immediately reinstate ban  travelers  refugees"
"2916","rt  federal court  denied  admin appeal    travel ban reinstated  legal defeat   days  potus"
"2917","rt   retweetu    happy  president    administrations performance    kicking butt  tak "
"2918","rt  chill america    outrage  outrageous   washington post "
"2919","rt  saturdaynightlive video melissa mccarthy   press sec sean spicer  amazing period "
"2920","rt    women   workplace dont bother  women     "
"2921","rt   please    schoolhouse rock episode   american government  bc   doe "
"2922","rt    uk   threat  global security dangerous unstable amp  bigot time  rethink statevisit "
"2923","rt   cabinet pick paid  cultlike iranian exile     "
"2924","rt     academics collecting  government paycheck  engaging  seditious anarchy   fired   maga gop"
"2925","rt    amp  associates absolutely committed treasonous acts     violated  constitution   "
